12790077;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;SIMPLE MELEE WEAPON;Quarterstaff;U.N.N.;Ruralion Baeneduren;24045;13110448
42137416;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;SIMPLE MELEE WEAPON;Quarterstaff;RED CURTAIN;Siras Invictus;24045;13110448
72891469;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;SIMPLE MELEE WEAPON;Quarterstaff;BORDERLANDS;Thaldrak Battlehammer;24045;13110448
42685862;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Greatsword;U.N.N.;Ruralion Baeneduren;18998;12382469
97316485;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Greatsword;RED CURTAIN;Siras Invictus;18998;12382469
99715911;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Greatsword;BORDERLANDS;Thaldrak Battlehammer;18998;12382469
36711109;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Morningstar;RED CURTAIN;Siras Invictus;17206;11768912
63644428;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Morningstar;BORDERLANDS;Thaldrak Battlehammer;17206;11768912
86536899;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Morningstar;U.N.N.;Ruralion Baeneduren;17206;11768912
11737785;LUXURY SPECIALTIES;ARMS & ARMOUR;T'avin T'soban;WAND;Wand of Viscid Globs;ARCANTIC;Enthoril Murkywaters;9071;10734237
50024270;LUXURY SPECIALTIES;ARMS & ARMOUR;T'avin T'soban;WAND;Wand of Viscid Globs;ARCANTIC;Enthoril Murkywaters;9071;10734237
38370611;LUXURY SPECIALTIES;ARMS & ARMOUR;T'avin T'soban;STAFF;Staff of Fire;BORDERLANDS;Thaldrak Battlehammer;14035;10511123
90453282;LUXURY SPECIALTIES;ARMS & ARMOUR;T'avin T'soban;STAFF;Staff of Fire;SABLE;Nundro Rockseeker;14035;10511123
11794259;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;LIGHT ARMOUR;Studded leather armour;RED CURTAIN;Siras Invictus;16494;9716811
64882316;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;LIGHT ARMOUR;Studded leather armour;U.N.N.;Ruralion Baeneduren;16494;9716811
96419791;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;LIGHT ARMOUR;Studded leather armour;BORDERLANDS;Thaldrak Battlehammer;16494;9716811
13175637;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Battleaxe;RED CURTAIN;Siras Invictus;13017;8508813
24673533;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Battleaxe;BORDERLANDS;Thaldrak Battlehammer;13017;8508813
85387460;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Battleaxe;U.N.N.;Ruralion Baeneduren;13017;8508813
21319590;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Hellsteel Martial Melee Weapon;U.N.N.;Ruralion Baeneduren;11073;8482156
58109227;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Hellsteel Martial Melee Weapon;BORDERLANDS;Thaldrak Battlehammer;11073;8482156
92963784;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Hellsteel Martial Melee Weapon;RED CURTAIN;Siras Invictus;11073;8482156
13315364;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;HEAVY ARMOUR;Splint mail;RED CURTAIN;Siras Invictus;15770;8415454
48955385;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;HEAVY ARMOUR;Splint mail;BORDERLANDS;Thaldrak Battlehammer;15770;8415454
73222882;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;HEAVY ARMOUR;Splint mail;U.N.N.;Ruralion Baeneduren;15770;8415454
61559090;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;SIMPLE RANGED WEAPON;Shortbow;RED CURTAIN;Siras Invictus;14203;8154504
61564575;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;SIMPLE RANGED WEAPON;Shortbow;U.N.N.;Ruralion Baeneduren;14203;8154504
95298440;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;SIMPLE RANGED WEAPON;Shortbow;BORDERLANDS;Thaldrak Battlehammer;14203;8154504
38525952;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;HEAVY ARMOUR;Adamantine Armour;RED CURTAIN;Siras Invictus;13410;7796232
74572243;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;HEAVY ARMOUR;Adamantine Armour;MYTHAL;Arentian Mythrandius;13410;7796232
27009524;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Pike;RED CURTAIN;Siras Invictus;16989;7674303
48732347;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Pike;BORDERLANDS;Thaldrak Battlehammer;16989;7674303
53520779;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL MELEE WEAPON;Pike;U.N.N.;Ruralion Baeneduren;16989;7674303
11041038;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL RANGED WEAPON;Longbow;U.N.N.;Ruralion Baeneduren;12938;7674014
32038230;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL RANGED WEAPON;Longbow;RED CURTAIN;Siras Invictus;12938;7674014
69737276;ADVENTURING;ARMS & ARMOUR;T'avin T'soban;MARTIAL RANGED WEAPON;Longbow;BORDERLANDS;Thaldrak Battlehammer;12938;7674014
